Full Index,ON Full,ON Variations,Similarity
47199,"Except as provided in Sentences (2) and (3), the clear opening height of doorways shall be not less than 2 030 mm high at,(a) exit doors, (b) doors that open into or are located within a public corridor, and (c) doors that open into or are located within another facility that provides access to exit from a suite.","Except as provided in Sentences (2) and (3), the clear opening height of doorways shall be not less than 2 030 mm high at,(a) exit doors, (b) doors that open into or are located within a public corridor, and (c) doors that open into or are located within another facility that provides access to exit from a suite.",1.0
44793,"All walls, ceilings and floors separating conditioned space from unconditioned space, the exterior air or the ground shall be,(a) provided with, (i) thermal insulation conforming to Subsection 9.25.2., (ii) an air barrier system conforming to Subsection 9.25.3., and (iii) a vapour barrier conforming to Subsection 9.25.4., and (b) constructed in such a way that the properties and relative position of all materials conform to Subsection 9.25.5.","All walls, ceilings and floors separating conditioned space from unconditioned space, the exterior air or the ground shall be,(a) provided with, (i) thermal insulation conforming to Subsection 9.25.2., (ii) an air barrier system conforming to Subsection 9.25.3., and (iii) a vapour barrier conforming to Subsection 9.25.4., and (b) constructed in such a way that the properties and relative position of all materials conform to Subsection 9.25.5.",1.0
48282,"The changing of movable parts of signs that are designed for changes, or the repainting of display matter shall not be deemed to be alterations.","The changing of movable parts of signs that are designed for changes, or the repainting of display matter shall not be deemed to be alterations.",1.0
52946,Dip tank covers shall overlap the sides of the tank by 25 mm and shall have a recess or flange extending down around the tank.,Dip tank covers shall overlap the sides of the tank by 25 mm and shall have a recess or flange extending down around the tank.,1.0
48283,This Subsection applies to all exits except those serving a house or an individual dwelling unit.,This Subsection applies to all exits except those serving a house or an individual dwelling unit.,1.0
48285,"Except as otherwise stated in this Section, unit masonry shall conform to Section 9.20. and concrete to Section 9.3.","Except as otherwise stated in this Section, unit masonry shall conform to Section 9.20. and concrete to Section 9.3.",1.0
47281,"Except as provided in Sentence (2), fire alarm, fire detection and smoke detection devices and systems, and their installation, shall conform to Subsection 3.2.4. and Articles 3.2.7.8. and 3.2.7.10. (See Appendix A.)","Except as provided in Sentence (2), fire alarm, fire detection and smoke detection devices and systems, and their installation, shall conform to Subsection 3.2.4. and Articles 3.2.7.8. and 3.2.7.10. (See Appendix A.)",1.0
45626,"Where a vision panel is provided in a door in a barrier-free path of travel, such panel shall be at least 75 mm in width and be located so that, the bottom of the panel is not more than 900 mm above the finished floor, and the edge of the panel closest to the latch is not more than 250 mm from the latch side of the door.","Where a vision panel is provided in a door in a barrier-free path of travel, such panel shall be at least 75 mm in width and be located so that, the bottom of the panel is not more than 900 mm above the finished floor, and the edge of the panel closest to the latch is not more than 250 mm from the latch side of the door.",1.0
48286,"Sill plates shall be,(a) levelled by setting them on a full bed of mortar, or (b) laid directly on the foundation where the top of the foundation is level.","Sill plates shall be,(a) levelled by setting them on a full bed of mortar, or (b) laid directly on the foundation where the top of the foundation is level.",1.0
48287,Doors referred to in Sentence (1) are permitted to be equipped with electromagnetic locks provided they comply with Sentences 3.4.6.16.(4) and (5).,Doors referred to in Sentence (1) are permitted to be equipped with electromagnetic locks provided they comply with Sentences 3.4.6.16.(4) and (5).,1.0
48288,"Key switch activated pull stations are permitted in an impeded egress zone and a contained use area in Group B, Division 1 and 2 occupancies.","Key switch activated pull stations are permitted in an impeded egress zone and a contained use area in Group B, Division 1 and 2 occupancies.",1.0
