Full Index,National Full,National in AB,Similarity
7492,"Showers required by Sentence 3.8.2.8.(10) shall be not less than 1 500 mm wide and 900 mm deep, have a clear floor space at the entrance to the shower that is not less than 900 mm deep and the same width as the shower, except that fixtures are permitted to project into that space provided they do not restrict access to the shower (see Note A-3.8.3.16.(1)(b)), have no doors or curtains that obstruct the controls or the clear floor space at the entrance to the shower, have a slip-resistant floor surface, have a threshold not more than 13 mm higher than the finished floor, and where it is higher than 6 mm, beveled to a slope no steeper than 1 in 2 (50%), have 2 grab bars that conform to Sentence 3.7.2.8.(1), one of which is not less than 1 000 mm long and located vertically on the side wall 50 mm to 80 mm from the adjacent clear floor space, with its lower end 600 mm to 650 mm above the floor, and, one of which is L-shaped and located on the wall opposite the entrance to the shower, with a horizontal member not less than 1 000 mm long mounted 750 mm to 870 mm above the floor and a vertical member not less than 750 mm long mounted 400 mm to 500 mm from the side wall on which the other vertical grab bar is mounted, (see Note A-3.8.3.16.(1)(f)), have a hinged seat that is not spring-loaded or a fixed seat with a smooth, slip-resistant surface and no rough edges, the seat being not less than 450 mm wide and 400 mm deep, mounted on the same side wall as the vertical grab bar, at 460 mm to 480 mm above the floor, and designed to carry a minimum load of 1.3 kN, have a pressure-equalizing or thermostatic-mixing valve and other controls that comply with Clause 3.8.3.8.(1)(b), are mounted on the wall opposite the entrance to the shower at not more than 1 200 mm above the floor and within reach of the seat, have a hand-held shower head with not less than 1 800 mm of flexible hose located so that it can be reached from a seated position, can be used in a fixed position at a height of 1 200 mm and 2 030 mm, and does not obstruct the use of the grab bars, and have recessed soap holders that can be reached from the seated position.","Showers required by Sentence 3.8.2.8.(10) shall be not less than 1 500 mm wide and 900 mm deep, have a clear floor space at the entrance to the shower that is not less than 900 mm deep and the same width as the shower, except that fixtures are permitted to project into that space provided they do not restrict access to the shower (see Note A-3.8.3.16.(1)(b)), have no doors or curtains that obstruct the controls or the clear floor space at the entrance to the shower, have a slip-resistant floor surface, have a threshold not more than 13 mm higher than the finished floor, and where it is higher than 6 mm, beveled to a slope no steeper than 1 in 2 (50%), have 2 grab bars that conform to Sentence 3.7.2.8.(1), one of which is not less than 1 000 mm long and located vertically on the side wall 50 mm to 80 mm from the adjacent clear floor space, with its lower end 600 mm to 650 mm above the floor, and, one of which is L-shaped and located on the wall opposite the entrance to the shower, with a horizontal member not less than 1 000 mm long mounted 750 mm to 870 mm above the floor and a vertical member not less than 750 mm long mounted 400 mm to 500 mm from the side wall on which the other vertical grab bar is mounted, (see Note A-3.8.3.16.(1)(f)), have a hinged seat that is not spring-loaded or a fixed seat with a smooth, slip-resistant surface and no rough edges, the seat being not less than 450 mm wide and 400 mm deep, mounted on the same side wall as the vertical grab bar, at 460 mm to 480 mm above the floor, and designed to carry a minimum load of 1.3 kN, have a pressure-equalizing or thermostatic-mixing valve and other controls that comply with Clause 3.8.3.8.(1)(b), are mounted on the wall opposite the entrance to the shower at not more than 1 200 mm above the floor and within reach of the seat, have a hand-held shower head with not less than 1 800 mm of flexible hose located so that it can be reached from a seated position, can be used in a fixed position at a height of 1 200 mm and 2 030 mm, and does not obstruct the use of the grab bars, and have recessed soap holders that can be reached from the seated position.",1.0
12424,"Dispensers at marine fuel-dispensing stations shall be in a location that will prevent watercraft or floatplane impact, or other physical damage.","Dispensers at marine fuel-dispensing stations shall be in a location that will prevent watercraft or floatplane impact, or other physical damage.",1.0
13062,The fire safety plan for a building within the scope of Subsection 3.2.6. of Division B of the NBC shall be kept at the central alarm and control facility.,The fire safety plan for a building within the scope of Subsection 3.2.6. of Division B of the NBC shall be kept at the central alarm and control facility.,1.0
12671,Buildings or parts thereof used for the storage of baled combustible fibres shall conform to Article 3.1.2.6. of Division B of the NBC.,Buildings or parts thereof used for the storage of baled combustible fibres shall conform to Article 3.1.2.6. of Division B of the NBC.,1.0
6530,"Where a heat-recovery ventilator is required in the reference house in accordance with Article 9.36.3.8., the ventilation flow rate, in L/s, in the zone served by the pool or hot tub shall be multiplied by 4.18 W/L/s to determine the heat-recovery ventilator power, in W, to be used in the energy model calculations.","Where a heat-recovery ventilator is required in the reference house in accordance with Article 9.36.3.8., the ventilation flow rate, in L/s, in the zone served by the pool or hot tub shall be multiplied by 4.18 W/L/s to determine the heat-recovery ventilator power, in W, to be used in the energy model calculations.",1.0
2145,"Except as provided in Sentence 9.36.2.1.(2), this Subsection is concerned with the loss of energy due to heat transfer and air leakage through materials, components and assemblies, including their interfaces, forming part of the building envelope where it separates conditioned space from unconditioned space, the exterior air or the ground.","Except as provided in Sentence 9.36.2.1.(2), this Subsection is concerned with the loss of energy due to heat transfer and air leakage through materials, components and assemblies, including their interfaces, forming part of the building envelope where it separates conditioned space from unconditioned space, the exterior air or the ground.",1.0
11892,"Where refrigerators are used to store Class I liquids, they shall be designed so that electrical equipment located within the storage compartment, within the outer shell, on the door and on the door frame of the refrigerator is in conformance with CSA C22.1-12 Canadian Electrical Code, Part I for Class I, Zone 0 or 1 hazardous locations based on the frequency of occurrence and duration of an explosive gaseous atmosphere, and electrical equipment mounted on the outside surface of the refrigerator is in conformance with CSA C22.1-12 Canadian Electrical Code, Part I for Class I, Zone 2 hazardous locations, or located above the top of the storage compartment.","Where refrigerators are used to store Class I liquids, they shall be designed so that electrical equipment located within the storage compartment, within the outer shell, on the door and on the door frame of the refrigerator is in conformance with CSA C22.1-12 Canadian Electrical Code, Part I for Class I, Zone 0 or 1 hazardous locations based on the frequency of occurrence and duration of an explosive gaseous atmosphere, and electrical equipment mounted on the outside surface of the refrigerator is in conformance with CSA C22.1-12 Canadian Electrical Code, Part I for Class I, Zone 2 hazardous locations, or located above the top of the storage compartment.",1.0
10203,An access route not less than 6 m wide constructed in conformance with Subsection 3.2.5. of Division B of the NBC shall be provided in outdoor storage areas to permit the approach of fire department vehicles to within 60 m of any part of a pile.,An access route not less than 6 m wide constructed in conformance with Subsection 3.2.5. of Division B of the NBC shall be provided in outdoor storage areas to permit the approach of fire department vehicles to within 60 m of any part of a pile.,1.0
11657,"Buildings altered or occupied for purposes of providing accommodation for boarders, lodgers or roomers shall conform to the NBC.","Buildings altered or occupied for purposes of providing accommodation for boarders, lodgers or roomers shall conform to the NBC.",1.0
3090,This Section applies to garages and carports serving not more than one dwelling unit.,This Section applies to garages and carports serving not more than one dwelling unit.,1.0
6973,"Where a passenger elevator serves one or more indoor parking levels, a barrier-free path of travel shall be provided between at least one parking level and all other parts of the building required to be provided with barrier-free access in accordance with Subsection 3.8.3.","Where a passenger elevator serves one or more indoor parking levels, a barrier-free path of travel shall be provided between at least one parking level and all other parts of the building required to be provided with barrier-free access in accordance with Subsection 3.8.3.",1.0
8674,"Where each dwelling unit in an apartment building that is not sprinklered has direct access to an exterior exit facility leading to ground level, a fire alarm system is not required if not more than 4 dwelling units share a common means of egress, or the building is not more than 3 storeys in building height.","Where each dwelling unit in an apartment building that is not sprinklered has direct access to an exterior exit facility leading to ground level, a fire alarm system is not required if not more than 4 dwelling units share a common means of egress, or the building is not more than 3 storeys in building height.",1.0
12123,"The interior finish material that forms part of the interior surface of a floor, wall, partition or ceiling shall conform to the NBC.","The interior finish material that forms part of the interior surface of a floor, wall, partition or ceiling shall conform to the NBC.",1.0
11720,"Except for vent risers and vertical fill piping systems, underground piping systems shall be of double-walled construction.","Except for vent risers and vertical fill piping systems, underground piping systems shall be of double-walled construction.",1.0
