Full Index,National Full,National in BC,Similarity
8444,"For the purpose of this Section, the term ""doors"" includes glazing in doors and sidelights for doors.","For the purpose of this Section, the term ""doors"" includes glazing in doors and sidelights for doors.",1.0
4001,"At the outside winter design temperature, required heating facilities shall be capable of maintaining an indoor air temperature of not less than 22°C in all living spaces, 18°C in unfinished basements, 18°C in common service rooms, ancillary spaces and exits in houses with a secondary suite, and 15°C in heated crawl spaces.","At the outside winter design temperature, required heating facilities shall be capable of maintaining an indoor air temperature of not less than 22°C in all living spaces, 18°C in unfinished basements, 18°C in common service rooms, ancillary spaces and exits in houses with a secondary suite, and 15°C in heated crawl spaces.",1.0
4327,"This Article applies to every building that contains a residential occupancy and that also contains a fuel-burning appliance, or a storage garage.","This Article applies to every building that contains a residential occupancy and that also contains a fuel-burning appliance, or a storage garage.",1.0
13663,"Requirements for combustible piping in relation to fire safety shall conform to Sentences 3.1.5.19.(1) and 9.10.9.6.(3) to (11), and Articles 3.1.9.5. and 9.10.9.7. of Division B of the NBC.","Requirements for combustible piping in relation to fire safety shall conform to Sentences 3.1.5.19.(1) and 9.10.9.6.(3) to (11), and Articles 3.1.9.5. and 9.10.9.7. of Division B of the NBC.",1.0
1403,"The area of an exposing building face shall be taken as the exterior wall area facing in one direction on any side of a building, and calculated as the total area measured from the finished ground level to the uppermost ceiling, or the area for each fire compartment, where a building is divided into fire compartments by fire separations with fire-resistance ratings not less than 45 min.","The area of an exposing building face shall be taken as the exterior wall area facing in one direction on any side of a building, and calculated as the total area measured from the finished ground level to the uppermost ceiling, or the area for each fire compartment, where a building is divided into fire compartments by fire separations with fire-resistance ratings not less than 45 min.",1.0
1137,"Except as provided in Sentence 9.9.6.6.(2), the distance between a stair riser and the leading edge of a door during its swing, except for doors serving a single dwelling unit or a house with a secondary suite, shall be not less than 300 mm.","Except as provided in Sentence 9.9.6.6.(2), the distance between a stair riser and the leading edge of a door during its swing, except for doors serving a single dwelling unit or a house with a secondary suite, shall be not less than 300 mm.",1.0
6009,"Except as provided in Sentence 9.32.3.5.(11), outdoor air shall be distributed by a system of trunk and branch supply ducts, from the outdoor air supply fan required by Sentence 9.32.3.5.(2) to each bedroom, any storey, including basements and heated crawl spaces, without a bedroom, and if there is no storey without a bedroom, to the principal living area.","Except as provided in Sentence 9.32.3.5.(11), outdoor air shall be distributed by a system of trunk and branch supply ducts, from the outdoor air supply fan required by Sentence 9.32.3.5.(2) to each bedroom, any storey, including basements and heated crawl spaces, without a bedroom, and if there is no storey without a bedroom, to the principal living area.",1.0
289,The barrier-free path of travel on the entrance level described in Sentence 9.5.2.3.(1) need not be provided where the difference in floor elevation between the entrance level and every dwelling unit exceeds 600 mm.,The barrier-free path of travel on the entrance level described in Sentence 9.5.2.3.(1) need not be provided where the difference in floor elevation between the entrance level and every dwelling unit exceeds 600 mm.,1.0
3582,"For the purpose of using Table 9.10.15.4. to determine the maximum permitted area of glazed openings in an irregularly shaped or skewed exterior wall, the location of the exposing building face shall be taken as a vertical plane located so that there are no glazed openings between the vertical plane and the line to which the limiting distance is measured. (See Note A-3.2.3.1.(4).)","For the purpose of using Table 9.10.15.4. to determine the maximum permitted area of glazed openings in an irregularly shaped or skewed exterior wall, the location of the exposing building face shall be taken as a vertical plane located so that there are no glazed openings between the vertical plane and the line to which the limiting distance is measured. (See Note A-3.2.3.1.(4).)",1.0
13822,No water system between the point of connection with the water service pipe or the water meter and the first branch that supplies a water heater that serves more than one fixture shall be sized less than ¾ inch.,No water system between the point of connection with the water service pipe or the water meter and the first branch that supplies a water heater that serves more than one fixture shall be sized less than ¾ inch.,1.0
989,"Where the exposing building face of any section of an exterior wall enclosing a single room or space, or combination room and space, has a limiting distance of 2 m or less, that section of the exposing building face serving the room or space shall not be divided into portions for the purpose of calculating area of exposing building face. (See Sentence 9.10.15.4.(5) and Note A-9.10.15.4.(2).)","Where the exposing building face of any section of an exterior wall enclosing a single room or space, or combination room and space, has a limiting distance of 2 m or less, that section of the exposing building face serving the room or space shall not be divided into portions for the purpose of calculating area of exposing building face. (See Sentence 9.10.15.4.(5) and Note A-9.10.15.4.(2).)",1.0
